caseFatalityRisk,confirmed,confirmedDelta,confirmedGrowthRate,country,countryCode,dateId,dayId,deceased,deceasedDelta,deceasedGrowthRate,doublingTime,immunizationRate,importDate,incidencePer100k,recovered,recoveredDelta,recoveredGrowthRate,recoveryRate,source
,0,,,Canada,CA,2020-01-22,22,0,,,,0.0,2020-04-08T07:39:55.346,0.0,0,,,,https://github.com/CSSEGISandData/COVID-19
,0,,,Canada,CA,2020-01-23,23,0,,,,0.0,2020-04-08T07:39:57.120,0.0,0,,,,https://github.com/CSSEGISandData/COVID-19
,0,,,Canada,CA,2020-01-24,24,0,,,,0.0,2020-04-08T07:39:58.149,0.0,0,,,,https://github.com/CSSEGISandData/COVID-19
,0,,,Canada,CA,2020-01-25,25,0,,,,0.0,2020-04-08T07:39:59.170,0.0,0,,,,https://github.com/CSSEGISandData/COVID-19
,1,0,0.0,Canada,CA,2020-01-26,26,0,0,0.0,-0.0,0.0,2020-04-08T07:40:00.090,0.0026495573093152022,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,1,0,1.0,Canada,CA,2020-01-27,27,0,0,0.0,,0.0,2020-04-08T07:40:01.015,0.0026495573093152022,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,2,1,2.0,Canada,CA,2020-01-28,28,0,0,0.0,1.0,0.0,2020-04-08T07:40:01.832,0.0052991146186304044,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,2,0,1.0,Canada,CA,2020-01-29,29,0,0,0.0,,0.0,2020-04-08T07:40:02.754,0.0052991146186304044,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,3,1,1.5,Canada,CA,2020-01-30,30,0,0,0.0,1.7095112913514547,0.0,2020-04-08T07:40:03.536,0.007948671927945607,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,3,0,1.0,Canada,CA,2020-01-31,31,0,0,0.0,,0.0,2020-04-08T07:40:04.394,0.007948671927945607,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,4,1,1.3333333333333333,Canada,CA,2020-02-01,32,0,0,0.0,2.4094208396532095,0.0,2020-04-08T07:40:05.265,0.010598229237260809,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,4,0,1.0,Canada,CA,2020-02-02,33,0,0,0.0,,0.0,2020-04-08T07:40:06.132,0.010598229237260809,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,4,0,1.0,Canada,CA,2020-02-03,34,0,0,0.0,,0.0,2020-04-08T07:40:06.906,0.010598229237260809,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,4,0,1.0,Canada,CA,2020-02-04,35,0,0,0.0,,0.0,2020-04-08T07:40:07.635,0.010598229237260809,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,5,1,1.25,Canada,CA,2020-02-05,36,0,0,0.0,3.10628371950539,0.0,2020-04-08T07:40:08.446,0.013247786546576011,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,5,0,1.0,Canada,CA,2020-02-06,37,0,0,0.0,,0.0,2020-04-08T07:40:09.252,0.013247786546576011,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,7,2,1.4,Canada,CA,2020-02-07,38,0,0,0.0,2.0600427171061453,0.0,2020-04-08T07:40:10.023,0.018546901165206416,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,7,0,1.0,Canada,CA,2020-02-08,39,0,0,0.0,,0.0,2020-04-08T07:40:10.841,0.018546901165206416,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,7,0,1.0,Canada,CA,2020-02-09,40,0,0,0.0,,0.0,2020-04-08T07:40:11.870,0.018546901165206416,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,7,0,1.0,Canada,CA,2020-02-10,41,0,0,0.0,,0.0,2020-04-08T07:40:12.688,0.018546901165206416,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,7,0,1.0,Canada,CA,2020-02-11,42,0,0,0.0,,0.0,2020-04-08T07:40:13.455,0.018546901165206416,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,7,0,1.0,Canada,CA,2020-02-12,43,0,0,0.0,,2.6495573093152022E-8,2020-04-08T07:40:14.289,0.018546901165206416,1,0,0.0,0.14285714285714285,https://github.com/CSSEGISandData/COVID-19
,7,0,1.0,Canada,CA,2020-02-13,44,0,0,0.0,,2.6495573093152022E-8,2020-04-08T07:40:15.250,0.018546901165206416,1,0,1.0,0.14285714285714285,https://github.com/CSSEGISandData/COVID-19
,7,0,1.0,Canada,CA,2020-02-14,45,0,0,0.0,,2.6495573093152022E-8,2020-04-08T07:40:16.072,0.018546901165206416,1,0,1.0,0.14285714285714285,https://github.com/CSSEGISandData/COVID-19
,7,0,1.0,Canada,CA,2020-02-15,46,0,0,0.0,,2.6495573093152022E-8,2020-04-08T07:40:16.927,0.018546901165206416,1,0,1.0,0.14285714285714285,https://github.com/CSSEGISandData/COVID-19
,7,0,1.0,Canada,CA,2020-02-16,47,0,0,0.0,,2.6495573093152022E-8,2020-04-08T07:40:17.707,0.018546901165206416,1,0,1.0,0.14285714285714285,https://github.com/CSSEGISandData/COVID-19
,8,1,1.1428571428571428,Canada,CA,2020-02-17,48,0,0,0.0,5.190893069684433,2.6495573093152022E-8,2020-04-08T07:40:18.489,0.021196458474521618,1,0,1.0,0.125,https://github.com/CSSEGISandData/COVID-19
,8,0,1.0,Canada,CA,2020-02-18,49,0,0,0.0,,2.6495573093152022E-8,2020-04-08T07:40:19.352,0.021196458474521618,1,0,1.0,0.125,https://github.com/CSSEGISandData/COVID-19
,8,0,1.0,Canada,CA,2020-02-19,50,0,0,0.0,,2.6495573093152022E-8,2020-04-08T07:40:20.126,0.021196458474521618,1,0,1.0,0.125,https://github.com/CSSEGISandData/COVID-19
,8,0,1.0,Canada,CA,2020-02-20,51,0,0,0.0,,2.6495573093152022E-8,2020-04-08T07:40:20.880,0.021196458474521618,1,0,1.0,0.125,https://github.com/CSSEGISandData/COVID-19
,9,1,1.125,Canada,CA,2020-02-21,52,0,0,0.0,5.884949192361718,7.948671927945606E-8,2020-04-08T07:40:21.727,0.02384601578383682,3,2,3.0,0.3333333333333333,https://github.com/CSSEGISandData/COVID-19
,9,0,1.0,Canada,CA,2020-02-22,53,0,0,0.0,,7.948671927945606E-8,2020-04-08T07:40:22.498,0.02384601578383682,3,0,1.0,0.3333333333333333,https://github.com/CSSEGISandData/COVID-19
,9,0,1.0,Canada,CA,2020-02-23,54,0,0,0.0,,7.948671927945606E-8,2020-04-08T07:40:23.350,0.02384601578383682,3,0,1.0,0.3333333333333333,https://github.com/CSSEGISandData/COVID-19
,10,1,1.1111111111111112,Canada,CA,2020-02-24,55,0,0,0.0,6.578813478960581,7.948671927945606E-8,2020-04-08T07:40:24.128,0.026495573093152022,3,0,1.0,0.3,https://github.com/CSSEGISandData/COVID-19
,11,1,1.1,Canada,CA,2020-02-25,56,0,0,0.0,7.272540897341713,7.948671927945606E-8,2020-04-08T07:40:25.196,0.029145130402467224,3,0,1.0,0.2727272727272727,https://github.com/CSSEGISandData/COVID-19
,11,0,1.0,Canada,CA,2020-02-26,57,0,0,0.0,,7.948671927945606E-8,2020-04-08T07:40:26.014,0.029145130402467224,3,0,1.0,0.2727272727272727,https://github.com/CSSEGISandData/COVID-19
