caseFatalityRisk,confirmed,confirmedDelta,confirmedGrowthRate,country,countryCode,dateId,dayId,deceased,deceasedDelta,deceasedGrowthRate,doublingTime,immunizationRate,importDate,incidencePer100k,recovered,recoveredDelta,recoveredGrowthRate,recoveryRate,source
,0,,,Germany,DE,2020-01-22,22,0,,,,0.0,2020-04-08T07:39:55.346,0.0,0,,,,https://github.com/CSSEGISandData/COVID-19
,0,,,Germany,DE,2020-01-23,23,0,,,,0.0,2020-04-08T07:39:57.120,0.0,0,,,,https://github.com/CSSEGISandData/COVID-19
,0,,,Germany,DE,2020-01-24,24,0,,,,0.0,2020-04-08T07:39:58.149,0.0,0,,,,https://github.com/CSSEGISandData/COVID-19
,0,,,Germany,DE,2020-01-25,25,0,,,,0.0,2020-04-08T07:39:59.170,0.0,0,,,,https://github.com/CSSEGISandData/COVID-19
,0,,,Germany,DE,2020-01-26,26,0,,,,0.0,2020-04-08T07:40:00.090,0.0,0,,,,https://github.com/CSSEGISandData/COVID-19
,0,,,Germany,DE,2020-01-27,27,0,,,,0.0,2020-04-08T07:40:01.015,0.0,0,,,,https://github.com/CSSEGISandData/COVID-19
,4,0,0.0,Germany,DE,2020-01-28,28,0,0,0.0,-0.0,0.0,2020-04-08T07:40:01.832,0.004774184532878627,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,4,0,1.0,Germany,DE,2020-01-29,29,0,0,0.0,,0.0,2020-04-08T07:40:02.754,0.004774184532878627,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,4,0,1.0,Germany,DE,2020-01-30,30,0,0,0.0,,0.0,2020-04-08T07:40:03.536,0.004774184532878627,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,5,1,1.25,Germany,DE,2020-01-31,31,0,0,0.0,3.10628371950539,0.0,2020-04-08T07:40:04.394,0.005967730666098284,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,8,3,1.6,Germany,DE,2020-02-01,32,0,0,0.0,1.4747698473569484,0.0,2020-04-08T07:40:05.265,0.009548369065757255,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,10,2,1.25,Germany,DE,2020-02-02,33,0,0,0.0,3.10628371950539,0.0,2020-04-08T07:40:06.132,0.011935461332196569,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,12,2,1.2,Germany,DE,2020-02-03,34,0,0,0.0,3.8017840169239308,0.0,2020-04-08T07:40:06.906,0.014322553598635882,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
