caseFatalityRisk,confirmed,confirmedDelta,confirmedGrowthRate,country,countryCode,dateId,dayId,deceased,deceasedDelta,deceasedGrowthRate,doublingTime,immunizationRate,importDate,incidencePer100k,recovered,recoveredDelta,recoveredGrowthRate,recoveryRate,source
,2,,,Thailand,TH,2020-01-22,22,0,,,,0.0,2020-04-08T07:39:55.346,0.0028653304160067214,0,,,,https://github.com/CSSEGISandData/COVID-19
,3,1,1.5,Thailand,TH,2020-01-23,23,0,0,0.0,1.7095112913514547,0.0,2020-04-08T07:39:57.120,0.004297995624010082,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,5,2,1.6666666666666667,Thailand,TH,2020-01-24,24,0,0,0.0,1.3569154488567239,0.0,2020-04-08T07:39:58.149,0.0071633260400168035,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,7,2,1.4,Thailand,TH,2020-01-25,25,0,0,0.0,2.0600427171061453,0.0,2020-04-08T07:39:59.170,0.010028656456023525,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,8,1,1.1428571428571428,Thailand,TH,2020-01-26,26,0,0,0.0,5.190893069684433,2.8653304160067214E-8,2020-04-08T07:40:00.090,0.011461321664026886,2,0,0.0,0.25,https://github.com/CSSEGISandData/COVID-19
,8,0,1.0,Thailand,TH,2020-01-27,27,0,0,0.0,,2.8653304160067214E-8,2020-04-08T07:40:01.015,0.011461321664026886,2,0,1.0,0.25,https://github.com/CSSEGISandData/COVID-19
,14,6,1.75,Thailand,TH,2020-01-28,28,0,0,0.0,1.2386126258466668,7.163326040016803E-8,2020-04-08T07:40:01.832,0.02005731291204705,5,3,2.5,0.35714285714285715,https://github.com/CSSEGISandData/COVID-19
,14,0,1.0,Thailand,TH,2020-01-29,29,0,0,0.0,,7.163326040016803E-8,2020-04-08T07:40:02.754,0.02005731291204705,5,0,1.0,0.35714285714285715,https://github.com/CSSEGISandData/COVID-19
,14,0,1.0,Thailand,TH,2020-01-30,30,0,0,0.0,,7.163326040016803E-8,2020-04-08T07:40:03.536,0.02005731291204705,5,0,1.0,0.35714285714285715,https://github.com/CSSEGISandData/COVID-19
,19,5,1.3571428571428572,Thailand,TH,2020-01-31,31,0,0,0.0,2.269773516446259,7.163326040016803E-8,2020-04-08T07:40:04.394,0.027220638952063853,5,0,1.0,0.2631578947368421,https://github.com/CSSEGISandData/COVID-19
,19,0,1.0,Thailand,TH,2020-02-01,32,0,0,0.0,,7.163326040016803E-8,2020-04-08T07:40:05.265,0.027220638952063853,5,0,1.0,0.2631578947368421,https://github.com/CSSEGISandData/COVID-19
,19,0,1.0,Thailand,TH,2020-02-02,33,0,0,0.0,,7.163326040016803E-8,2020-04-08T07:40:06.132,0.027220638952063853,5,0,1.0,0.2631578947368421,https://github.com/CSSEGISandData/COVID-19
,19,0,1.0,Thailand,TH,2020-02-03,34,0,0,0.0,,7.163326040016803E-8,2020-04-08T07:40:06.906,0.027220638952063853,5,0,1.0,0.2631578947368421,https://github.com/CSSEGISandData/COVID-19
,25,6,1.3157894736842106,Thailand,TH,2020-02-04,35,0,0,0.0,2.5257074311122616,7.163326040016803E-8,2020-04-08T07:40:07.635,0.03581663020008402,5,0,1.0,0.2,https://github.com/CSSEGISandData/COVID-19
,25,0,1.0,Thailand,TH,2020-02-05,36,0,0,0.0,,7.163326040016803E-8,2020-04-08T07:40:08.446,0.03581663020008402,5,0,1.0,0.2,https://github.com/CSSEGISandData/COVID-19
,25,0,1.0,Thailand,TH,2020-02-06,37,0,0,0.0,,7.163326040016803E-8,2020-04-08T07:40:09.252,0.03581663020008402,5,0,1.0,0.2,https://github.com/CSSEGISandData/COVID-19
,25,0,1.0,Thailand,TH,2020-02-07,38,0,0,0.0,,7.163326040016803E-8,2020-04-08T07:40:10.023,0.03581663020008402,5,0,1.0,0.2,https://github.com/CSSEGISandData/COVID-19
,32,7,1.28,Thailand,TH,2020-02-08,39,0,0,0.0,2.807854499471603,1.4326652080033606E-7,2020-04-08T07:40:10.841,0.04584528665610754,10,5,2.0,0.3125,https://github.com/CSSEGISandData/COVID-19
,32,0,1.0,Thailand,TH,2020-02-09,40,0,0,0.0,,1.4326652080033606E-7,2020-04-08T07:40:11.870,0.04584528665610754,10,0,1.0,0.3125,https://github.com/CSSEGISandData/COVID-19
,32,0,1.0,Thailand,TH,2020-02-10,41,0,0,0.0,,1.4326652080033606E-7,2020-04-08T07:40:12.688,0.04584528665610754,10,0,1.0,0.3125,https://github.com/CSSEGISandData/COVID-19
,33,1,1.03125,Thailand,TH,2020-02-11,42,0,0,0.0,22.525505955544585,1.4326652080033606E-7,2020-04-08T07:40:13.455,0.047277951864110906,10,0,1.0,0.30303030303030304,https://github.com/CSSEGISandData/COVID-19
,33,0,1.0,Thailand,TH,2020-02-12,43,0,0,0.0,,1.4326652080033606E-7,2020-04-08T07:40:14.290,0.047277951864110906,10,0,1.0,0.30303030303030304,https://github.com/CSSEGISandData/COVID-19
,33,0,1.0,Thailand,TH,2020-02-13,44,0,0,0.0,,1.719198249604033E-7,2020-04-08T07:40:15.250,0.047277951864110906,12,2,1.2,0.36363636363636365,https://github.com/CSSEGISandData/COVID-19
,33,0,1.0,Thailand,TH,2020-02-14,45,0,0,0.0,,1.719198249604033E-7,2020-04-08T07:40:16.072,0.047277951864110906,12,0,1.0,0.36363636363636365,https://github.com/CSSEGISandData/COVID-19
,33,0,1.0,Thailand,TH,2020-02-15,46,0,0,0.0,,1.719198249604033E-7,2020-04-08T07:40:16.927,0.047277951864110906,12,0,1.0,0.36363636363636365,https://github.com/CSSEGISandData/COVID-19
,34,1,1.0303030303030303,Thailand,TH,2020-02-16,47,0,0,0.0,23.21870619960046,2.005731291204705E-7,2020-04-08T07:40:17.708,0.048710617072114264,14,2,1.1666666666666667,0.4117647058823529,https://github.com/CSSEGISandData/COVID-19
,35,1,1.0294117647058822,Thailand,TH,2020-02-17,48,0,0,0.0,23.911903366978944,2.148997812005041E-7,2020-04-08T07:40:18.489,0.05014328228011763,15,1,1.0714285714285714,0.42857142857142855,https://github.com/CSSEGISandData/COVID-19
,35,0,1.0,Thailand,TH,2020-02-18,49,0,0,0.0,,2.148997812005041E-7,2020-04-08T07:40:19.352,0.05014328228011763,15,0,1.0,0.42857142857142855,https://github.com/CSSEGISandData/COVID-19
,35,0,1.0,Thailand,TH,2020-02-19,50,0,0,0.0,,2.148997812005041E-7,2020-04-08T07:40:20.126,0.05014328228011763,15,0,1.0,0.42857142857142855,https://github.com/CSSEGISandData/COVID-19
,35,0,1.0,Thailand,TH,2020-02-20,51,0,0,0.0,,2.148997812005041E-7,2020-04-08T07:40:20.880,0.05014328228011763,15,0,1.0,0.42857142857142855,https://github.com/CSSEGISandData/COVID-19
,35,0,1.0,Thailand,TH,2020-02-21,52,0,0,0.0,,2.4355308536057134E-7,2020-04-08T07:40:21.727,0.05014328228011763,17,2,1.1333333333333333,0.4857142857142857,https://github.com/CSSEGISandData/COVID-19
,35,0,1.0,Thailand,TH,2020-02-22,53,0,0,0.0,,2.4355308536057134E-7,2020-04-08T07:40:22.498,0.05014328228011763,17,0,1.0,0.4857142857142857,https://github.com/CSSEGISandData/COVID-19
,35,0,1.0,Thailand,TH,2020-02-23,54,0,0,0.0,,3.0085969368070575E-7,2020-04-08T07:40:23.350,0.05014328228011763,21,4,1.2352941176470589,0.6,https://github.com/CSSEGISandData/COVID-19
,35,0,1.0,Thailand,TH,2020-02-24,55,0,0,0.0,,3.0085969368070575E-7,2020-04-08T07:40:24.128,0.05014328228011763,21,0,1.0,0.6,https://github.com/CSSEGISandData/COVID-19
