caseFatalityRisk,confirmed,confirmedDelta,confirmedGrowthRate,country,countryCode,dateId,dayId,deceased,deceasedDelta,deceasedGrowthRate,doublingTime,immunizationRate,importDate,incidencePer100k,recovered,recoveredDelta,recoveredGrowthRate,recoveryRate,source
,1,,,United States,US,2020-01-22,22,0,,,,0.0,2020-04-08T07:39:55.346,3.0211238398812705E-4,0,,,,https://github.com/CSSEGISandData/COVID-19
,1,0,1.0,United States,US,2020-01-23,23,0,0,0.0,,0.0,2020-04-08T07:39:57.120,3.0211238398812705E-4,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,2,1,2.0,United States,US,2020-01-24,24,0,0,0.0,1.0,0.0,2020-04-08T07:39:58.149,6.042247679762541E-4,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,2,0,1.0,United States,US,2020-01-25,25,0,0,0.0,,0.0,2020-04-08T07:39:59.170,6.042247679762541E-4,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,5,3,2.5,United States,US,2020-01-26,26,0,0,0.0,0.75647079736603,0.0,2020-04-08T07:40:00.090,0.001510561919940635,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,5,0,1.0,United States,US,2020-01-27,27,0,0,0.0,,0.0,2020-04-08T07:40:01.015,0.001510561919940635,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,5,0,1.0,United States,US,2020-01-28,28,0,0,0.0,,0.0,2020-04-08T07:40:01.832,0.001510561919940635,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,5,0,1.0,United States,US,2020-01-29,29,0,0,0.0,,0.0,2020-04-08T07:40:02.754,0.001510561919940635,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,5,0,1.0,United States,US,2020-01-30,30,0,0,0.0,,0.0,2020-04-08T07:40:03.536,0.001510561919940635,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,6,1,1.2,United States,US,2020-01-31,31,0,0,0.0,3.8017840169239308,0.0,2020-04-08T07:40:04.394,0.0018126743039287622,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,8,2,1.3333333333333333,United States,US,2020-02-01,32,0,0,0.0,2.4094208396532095,0.0,2020-04-08T07:40:05.265,0.0024168990719050164,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,8,0,1.0,United States,US,2020-02-02,33,0,0,0.0,,0.0,2020-04-08T07:40:06.132,0.0024168990719050164,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,11,3,1.375,United States,US,2020-02-03,34,0,0,0.0,2.1766024788760996,0.0,2020-04-08T07:40:06.906,0.0033232362238693972,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,11,0,1.0,United States,US,2020-02-04,35,0,0,0.0,,0.0,2020-04-08T07:40:07.635,0.0033232362238693972,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,12,1,1.0909090909090908,United States,US,2020-02-05,36,0,0,0.0,7.96616723629781,0.0,2020-04-08T07:40:08.446,0.0036253486078575243,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,12,0,1.0,United States,US,2020-02-06,37,0,0,0.0,,0.0,2020-04-08T07:40:09.252,0.0036253486078575243,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,12,0,1.0,United States,US,2020-02-07,38,0,0,0.0,,0.0,2020-04-08T07:40:10.023,0.0036253486078575243,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,12,0,1.0,United States,US,2020-02-08,39,0,0,0.0,,0.0,2020-04-08T07:40:10.841,0.0036253486078575243,0,0,0.0,,https://github.com/CSSEGISandData/COVID-19
,12,0,1.0,United States,US,2020-02-09,40,0,0,0.0,,9.063371519643812E-9,2020-04-08T07:40:11.870,0.0036253486078575243,3,0,0.0,0.25,https://github.com/CSSEGISandData/COVID-19
,12,0,1.0,United States,US,2020-02-10,41,0,0,0.0,,9.063371519643812E-9,2020-04-08T07:40:12.688,0.0036253486078575243,3,0,1.0,0.25,https://github.com/CSSEGISandData/COVID-19
,13,1,1.0833333333333333,United States,US,2020-02-11,42,0,0,0.0,8.659716802522823,9.063371519643812E-9,2020-04-08T07:40:13.455,0.003927460991845651,3,0,1.0,0.23076923076923078,https://github.com/CSSEGISandData/COVID-19
,13,0,1.0,United States,US,2020-02-12,43,0,0,0.0,,9.063371519643812E-9,2020-04-08T07:40:14.290,0.003927460991845651,3,0,1.0,0.23076923076923078,https://github.com/CSSEGISandData/COVID-19
,15,2,1.1538461538461537,United States,US,2020-02-13,44,0,0,0.0,4.8437672547929935,9.063371519643812E-9,2020-04-08T07:40:15.250,0.004531685759821906,3,0,1.0,0.2,https://github.com/CSSEGISandData/COVID-19
,15,0,1.0,United States,US,2020-02-14,45,0,0,0.0,,9.063371519643812E-9,2020-04-08T07:40:16.072,0.004531685759821906,3,0,1.0,0.2,https://github.com/CSSEGISandData/COVID-19
,15,0,1.0,United States,US,2020-02-15,46,0,0,0.0,,9.063371519643812E-9,2020-04-08T07:40:16.927,0.004531685759821906,3,0,1.0,0.2,https://github.com/CSSEGISandData/COVID-19
,15,0,1.0,United States,US,2020-02-16,47,0,0,0.0,,9.063371519643812E-9,2020-04-08T07:40:17.708,0.004531685759821906,3,0,1.0,0.2,https://github.com/CSSEGISandData/COVID-19
,15,0,1.0,United States,US,2020-02-17,48,0,0,0.0,,9.063371519643812E-9,2020-04-08T07:40:18.489,0.004531685759821906,3,0,1.0,0.2,https://github.com/CSSEGISandData/COVID-19
,15,0,1.0,United States,US,2020-02-18,49,0,0,0.0,,9.063371519643812E-9,2020-04-08T07:40:19.352,0.004531685759821906,3,0,1.0,0.2,https://github.com/CSSEGISandData/COVID-19
,15,0,1.0,United States,US,2020-02-19,50,0,0,0.0,,9.063371519643812E-9,2020-04-08T07:40:20.126,0.004531685759821906,3,0,1.0,0.2,https://github.com/CSSEGISandData/COVID-19
