Effective date,Dow Jones Industrial Average
1/1/20,28868.8
1/2/20,28868.8
1/3/20,28634.88
1/6/20,28703.38
1/7/20,28583.68
1/8/20,28745.09
1/9/20,28956.9
1/10/20,28823.77
1/13/20,28907.05
1/14/20,28939.67
1/15/20,29030.22
1/16/20,29297.64
1/17/20,29348.1
1/21/20,29196.04
1/22/20,29186.27
1/23/20,29160.09
1/24/20,28989.73
1/27/20,28535.8
1/28/20,28722.85
1/29/20,28734.45
1/30/20,28859.44
1/31/20,28256.03
2/3/20,28399.81
2/4/20,28807.63
2/5/20,29290.85
2/6/20,29379.77
2/7/20,29102.51
2/10/20,29276.82
2/11/20,29276.34
2/12/20,29551.42
2/13/20,29423.31
2/14/20,29398.08
2/18/20,29232.19
2/19/20,29348.03
2/20/20,29219.98
2/21/20,28992.41
2/24/20,27960.8
2/25/20,27081.36
2/26/20,26957.59
2/27/20,25766.64
2/28/20,25409.36
3/2/20,26703.32
3/3/20,25917.41
3/4/20,27090.86
3/5/20,26121.28
3/6/20,25864.78
3/9/20,23851.02
3/10/20,25018.16
3/11/20,23553.22
3/12/20,21200.62
3/13/20,23185.62
3/16/20,20188.52
3/17/20,21237.38
3/18/20,19898.92
3/19/20,20087.19
3/20/20,19173.98
3/23/20,18591.93
3/24/20,20704.91
3/25/20,21200.55
3/26/20,22552.17
3/27/20,21636.78
3/30/20,22327.48
3/31/20,21917.16
4/1/20,20943.51
4/2/20,21413.44
4/3/20,21052.53
4/6/20,22679.99
4/7/20,22653.86
4/8/20,23433.57
4/9/20,23719.37
4/13/20,23390.77
4/14/20,23949.76
4/15/20,23504.35
4/16/20,23537.68
4/17/20,24242.49
4/20/20,23650.44
4/21/20,23018.88
4/22/20,23475.82
4/23/20,23515.26
4/24/20,23775.27
4/27/20,24133.78
4/28/20,24101.55
4/29/20,24633.86
