"COUNTRY_STATE","ADMIN_2","REGION","CATEGORY","MEASURE","TARGETED_POP_GROUP","COMMENTS","NON_COMPLIANCE","DATE_IMPLEMENTED","SOURCE","SOURCE_TYPE","LINK","ENTRY_DATE","ISO3166_1","LAST_UPDATED_DATE"
"Afghanistan","","","Public health measures","Health screenings in airports and border crossings","No","","","2020-02-12 00:00:00.000000","Ministry of Health","Government","https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19","2020-03-14 00:00:00.000000","AF","2020-04-27 00:40:26.851057"
"Afghanistan","Kabul","","Public health measures","Introduction of isolation and quarantine policies","No","","","2020-02-12 00:00:00.000000","Ministry of Health","Government","https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19","2020-03-14 00:00:00.000000","AF","2020-04-27 00:40:26.851057"
"Afghanistan","","","Public health measures","Awareness campaigns","No","","","2020-02-12 00:00:00.000000","Ministry of Health","Government","https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19","2020-03-14 00:00:00.000000","AF","2020-04-27 00:40:26.851057"
"Afghanistan","","","Governance and socio-economic measures","Emergency administrative structures activated or established","No","","","2020-02-12 00:00:00.000000","Ministry of Health","Government","https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19","2020-03-14 00:00:00.000000","AF","2020-04-27 00:40:26.851057"
"Afghanistan","","","Social distancing","Limit public gatherings","No","Nevruz festival cancelled","","2020-03-12 00:00:00.000000","AA","Media","https://www.aa.com.tr/en/asia-pacific/coronavirus-afghanistan-scraps-annual-nevruz-festival/1763830","2020-03-14 00:00:00.000000","AF","2020-04-27 00:40:26.851057"
"Afghanistan","","","Movement restrictions","Border closure ","No","Closure of borders with Iran","","2020-02-24 00:00:00.000000","Guardian","Media","https://www.theguardian.com/global-development/2020/feb/26/coronavirus-in-a-war-zone-afghanistan-braces-for-outbreak-after-first-case","2020-03-14 00:00:00.000000","AF","2020-04-27 00:40:26.851057"
"Afghanistan","Herat","","Social distancing","Schools closure ","No","","","2020-03-01 00:00:00.000000","OCHA","UN","https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf","2020-03-14 00:00:00.000000","AF","2020-04-27 00:40:26.851057"
"Afghanistan","Herat","","Social distancing","Limit public gatherings","No","all public gatherings banned","","2020-03-01 00:00:00.000000","OCHA","UN","https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf","2020-03-14 00:00:00.000000","AF","2020-04-27 00:40:26.851057"
"Afghanistan","","","Public health measures","Strengthening the public health system","No","","","2020-03-01 00:00:00.000000","OCHA","UN","https://reliefweb.int/sites/reliefweb.int/files/resources/20200312-sitrep-covid-19.pdf","2020-03-14 00:00:00.000000","AF","2020-04-27 00:40:26.851057"
"Afghanistan","","","Governance and socio-economic measures","Limit product imports/exports","No","Food imports from Iran and Afghanistan has been limited","","2020-03-01 00:00:00.000000","US Embassy ","Government","https://af.usembassy.gov/covid-19-information/","2020-03-14 00:00:00.000000","AF","2020-04-27 00:40:26.851057"
"Afghanistan","","","Movement restrictions","Border checks ","Yes","All China and Iran nationals","","2020-02-01 00:00:00.000000","US Embassy ","Government","https://af.usembassy.gov/covid-19-information/","2020-03-14 00:00:00.000000","AF","2020-04-27 00:40:26.851057"
"Afghanistan","","","Public health measures","Awareness campaigns","No","MoPH begins announcements on their facebook to make public aware of coronavirus. ","","2020-01-24 00:00:00.000000","Afghanistan MoPH","Government","https://www.facebook.com/af.moph/posts/1005130256522820?__tn__=-R","2020-04-07 00:00:00.000000","AF","2020-04-27 00:40:26.851057"
"Afghanistan","","","Public health measures","Health screenings in airports and border crossings","Yes","Health teams at airports will check passengers coming from China. ","","2020-01-26 00:00:00.000000","Afghanistan MoPH","Government","https://www.facebook.com/af.moph/posts/1006458563056656?__tn__=-R ","2020-04-07 00:00:00.000000","AF","2020-04-27 00:40:26.851057"
"Afghanistan","","","Movement restrictions","International flights suspension","Yes","Flights to China are suspended. ","","2020-01-27 00:00:00.000000","Afghanistan MoPH","Government","https://www.facebook.com/af.moph/photos/a.462598094109375/1007117789657400/?type=3&theater","2020-04-07 00:00:00.000000","AF","2020-04-27 00:40:26.851057"
"Afghanistan","","","Public health measures","Health screenings in airports and border crossings","No","Health screenings of all passengers at airports. ","","2020-01-27 00:00:00.000000","Afghanistan MoPH","Government","https://www.facebook.com/af.moph/photos/a.462598094109375/1007117789657400/?type=3&theater","2020-04-07 00:00:00.000000","AF","2020-04-27 00:40:26.851057"
"Afghanistan","Kabul","","Public health measures","Strengthening the public health system","Yes","the ministry has prepared 100 bed to control this virus in Kabul and 200 others in the province hospital with all the facilities needed in the country.","","2020-02-02 00:00:00.000000","Afghanistan MoPH","Government","https://www.facebook.com/af.moph/posts/1011701339199045?__tn__=-R","2020-04-07 00:00:00.000000","AF","2020-04-27 00:40:26.851057"
"Afghanistan","","","Public health measures","Introduction of isolation and quarantine policies","No","","","2020-02-02 00:00:00.000000","Afghanistan MoPH","Government","https://www.facebook.com/af.moph/posts/1011701339199045?__tn__=-R","2020-04-07 00:00:00.000000","AF","2020-04-27 00:40:26.851057"
"Afghanistan","","","Public health measures","Awareness campaigns","No","Print, publishing and sending advertising materials about health services. Publishing messages in hospitals, building video guidance at ports of entry, making a clear part of the passengers's location, creating a clear section on the ministry's website to publish the content related to coronavirus. ","","2020-02-04 00:00:00.000000","Afghanistan MoPH","Government","https://www.facebook.com/af.moph/posts/1013023885733457?__tn__=-R","2020-04-07 00:00:00.000000","AF","2020-04-27 00:40:26.851057"
"Afghanistan","","","Public health measures","Strengthening the public health system","No","The Ministry of public health has created the special part of the control of the ""Corona"" virus in the Afghan-Japan hospital. This section has a hundred bed filled with all facilities.","","2020-02-04 00:00:00.000000","Afghanistan MoPH","Government","https://www.facebook.com/af.moph/posts/1013057475730098?__tn__=-R","2020-04-07 00:00:00.000000","AF","2020-04-27 00:40:26.851057"
"Afghanistan","","","Governance and socio-economic measures","Emergency administrative structures activated or established","Yes","review list of equipment, medical requirements for health facilities and increase of supplies, the list of health staff and services of the Afghan-Japan hospital and the order list of the necessary items. ","","2020-02-06 00:00:00.000000","Afghanistan MoPH","Government","https://www.facebook.com/af.moph/posts/1014455592256953?__tn__=-R","2020-04-07 00:00:00.000000","AF","2020-04-27 00:40:26.851057"
